pm25,pm10,no2,so2,co,o3,AQI
68.88,112.0,51.0,24.0,20.0,35.0,236.64000000000001
105.6,112.0,42.0,13.0,19.0,34.0,244.56000000000003
105.6,112.0,52.0,20.0,25.0,43.0,252.47999999999996
105.6,112.0,74.0,20.0,18.0,43.5,244.56000000000003
68.88,112.0,96.0,20.0,11.0,44.0,228.72000000000003
63.839999999999996,112.0,93.0,22.0,26.0,35.0,204.6266666666667
58.8,112.0,60.0,27.0,21.0,39.0,188.45333333333338
58.8,112.2,55.0,26.0,19.0,56.0,188.45333333333338
63.839999999999996,112.4,63.0,24.0,21.0,23.0,198.02666666666673
64.68,108.08,56.0,24.0,15.0,33.0,208.92000000000004
93.6,103.75999999999999,61.0,18.0,20.0,20.0,212.88000000000002
52.14,64.63600000000001,62.0,23.0,25.0,32.0,216.84000000000003
52.800000000000004,61.59400000000001,67.0,24.0,26.0,30.0,212.5466666666667
49.50000000000001,58.55200000000001,53.0,22.0,21.0,37.0,200.99333333333337
46.53,58.448,53.0,21.0,17.0,27.0,182.18000000000004
43.56,58.448,51.0,18.0,8.0,32.0,164.36000000000004
